TableName,FieldName,column_id,DateType,PandasDataType,AWSDataType,Include
AdditionalPropertyAddress,RowID,1,uniqueidentifier,object,bigint,FALSE
AdditionalPropertyAddress,PropertyAddressSequenceNumber,2,int,object,int,FALSE
AdditionalPropertyAddress,PropertyHouseNumber,3,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyHouseNumberExt,4,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyStreetPreDirectional,5,char,object,string,FALSE
AdditionalPropertyAddress,PropertyStreetName,6,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyStreetSuffix,7,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyStreetPostDirectional,8,char,object,string,FALSE
AdditionalPropertyAddress,PropertyBuildingNumber,9,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyFullStreetAddress,10,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyCity,11,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyState,12,char,object,string,FALSE
AdditionalPropertyAddress,PropertyZip,13,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyZip4,14,char,object,string,FALSE
AdditionalPropertyAddress,OriginalPropertyFullStreetAddress,15,varchar,object,string,FALSE
AdditionalPropertyAddress,OriginalPropertyAddressLastline,16,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressCensusTract,17,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressMatchcode,18,char,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressUnitDesignator,19,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressUnitNumber,20,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressCarrierRoe,21,char,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressGeoCodeMatchCode,22,char,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressLatitude,23,decimal,float64,float,FALSE
AdditionalPropertyAddress,PropertyAddressLongitude,24,decimal,float64,float,FALSE
AdditionalPropertyAddress,PropertyAddressCensusTractAndBlock,25,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressConfidenceScore,26,tinyint,float64,tinyint,FALSE
AdditionalPropertyAddress,PropertyAddressCBSACode,27,int,object,int,FALSE
AdditionalPropertyAddress,PropertyAddressCBSADivisionCode,28,int,object,int,FALSE
AdditionalPropertyAddress,PropertyAddressMatchType,29,tinyint,object,tinyint,FALSE
AdditionalPropertyAddress,PropertyAddressDPV,30,char,object,string,FALSE
AdditionalPropertyAddress,PropertyGeocodeQualityCode,31,varchar,object,string,FALSE
AdditionalPropertyAddress,PropertyAddressQualityCode,32,varchar,object,string,FALSE
