TableName,FieldName,column_id,DateType,MaxLength,PandasDataType,Include
BKManagedSpecific,TransID,1,bigint,8,object,
BKManagedSpecific,Loan1TransType,2,char,2,object,
BKManagedSpecific,Loan2TransType,3,char,2,object,
BKManagedSpecific,DeedTransType,4,char,2,object,
BKManagedSpecific,BKFSPID,5,int,4,object,
BKManagedSpecific,FIPS,6,char,5,object,
BKManagedSpecific,BatchID,7,int,4,object,
BorrowerMailAddress,TransId,1,bigint,8,object,
BorrowerMailAddress,BorrowerMailSequenceNumber,2,smallint,2,object,
BorrowerMailAddress,BorrowerMailCareOfName,3,varchar,250,object,
BorrowerMailAddress,BorrowerMailHouseNumber,4,varchar,13,object,
BorrowerMailAddress,BorrowerMailHouseNumberExt,5,varchar,10,object,
BorrowerMailAddress,BorrowerMailStreetPreDirectional,6,char,2,object,
BorrowerMailAddress,BorrowerMailStreetName,7,varchar,50,object,
BorrowerMailAddress,BorrowerMailStreetSuffix,8,varchar,6,object,
BorrowerMailAddress,BorrowerMailStreetPostDirectional,9,char,2,object,
BorrowerMailAddress,BorrowerMailBuildingName,10,varchar,45,object,
BorrowerMailAddress,BorrowerMailBuildingNumber,11,varchar,15,object,
BorrowerMailAddress,BorrowerMailFullStreetAddress,12,varchar,80,object,
BorrowerMailAddress,BorrowerMailCity,13,varchar,45,object,
BorrowerMailAddress,BorrowerMailState,14,char,2,object,
BorrowerMailAddress,BorrowerMailZip,15,varchar,5,object,
BorrowerMailAddress,BorrowerMailZip4,16,char,4,object,
BorrowerMailAddress,OriginalBorrowerMailFullStreetAddress,17,varchar,100,object,
BorrowerMailAddress,OriginalBorrowerMailAddressLastline,18,varchar,100,object,
BorrowerMailAddress,BorrowerMailAddressStndCode,19,char,1,object,
BorrowerMailAddress,BorrowerMailAddressMatchCode,20,char,1,object,
BorrowerMailAddress,BorrowerMailAddressUnitDesignatorCode,21,varchar,10,object,
BorrowerMailAddress,BorrowerMailAddressUnitNumber,22,varchar,11,object,
BorrowerMailAddress,BorrowerMailAddressCarrierRoute,23,char,4,object,
BorrowerMailAddress,BorrowerMailAddressFIPSCode,24,varchar,5,object,
BorrowerMailAddress,BorrowerMailAddressLatitude,25,decimal,"9,6",float64,
BorrowerMailAddress,BorrowerMailAddressLongitude,26,decimal,"9,6",float64,
BorrowerMailAddress,BorrowerMailAddressCensusTractAndBlock,27,varchar,16,object,
